feature,coefficient,abs_coefficient,base_feature,is_utility
lag_11__T_place_ADMIN,-4.330199487867503e-07,4.330199487867503e-07,T_place_ADMIN,False
lag_11__T_place_HOLE,-4.297492353089183e-07,4.297492353089183e-07,T_place_HOLE,False
lag_11__T_place_HELL,-4.2880486716967425e-07,4.2880486716967425e-07,T_place_HELL,False
lag_11__T_place_ELECTRICALBOX,-4.2698266611296276e-07,4.2698266611296276e-07,T_place_ELECTRICALBOX,False
lag_06__CT_place_SILO,-4.23049442588308e-07,4.23049442588308e-07,CT_place_SILO,False
lag_14__CT_place_DECK,-4.120011283248459e-07,4.120011283248459e-07,CT_place_DECK,False
lag_07__CT_place_DECK,-4.1167089648297406e-07,4.1167089648297406e-07,CT_place_DECK,False
lag_15__CT3__is_walking,4.105027073819656e-07,4.105027073819656e-07,CT3__is_walking,False
lag_11__CT_place_UNKNOWN,-4.0387706690125924e-07,4.0387706690125924e-07,CT_place_UNKNOWN,False
lag_11__T_place_RAFTERS,-3.8928098433643754e-07,3.8928098433643754e-07,T_place_RAFTERS,False
lag_11__CT_place_GRAVEYARD,-3.859898072278156e-07,3.859898072278156e-07,CT_place_GRAVEYARD,False
lag_14__bomb_events_last_5s,3.8476264307973906e-07,3.8476264307973906e-07,bomb_events_last_5s,False
lag_11__CT_place_LOWERMID,-3.8376640532078454e-07,3.8376640532078454e-07,CT_place_LOWERMID,False
lag_01__CT_place_DECK,-3.7620114312630903e-07,3.7620114312630903e-07,CT_place_DECK,False
lag_11__CT_place_ROOF,-3.7355761151047773e-07,3.7355761151047773e-07,CT_place_ROOF,False
lag_15__CT3__molly,3.73475813830737e-07,3.73475813830737e-07,CT3__molly,True
lag_11__CT_place_SIDE,-3.623520967721561e-07,3.623520967721561e-07,CT_place_SIDE,False
lag_15__CT_place_DECK,-3.577054030756699e-07,3.577054030756699e-07,CT_place_DECK,False
lag_11__CT_place_TSTAIRS,-3.5762076322498615e-07,3.5762076322498615e-07,CT_place_TSTAIRS,False
lag_13__CT_place_DECK,-3.523987288645003e-07,3.523987288645003e-07,CT_place_DECK,False
lag_05__T4__Y,3.5108314477838576e-07,3.5108314477838576e-07,T4__Y,False
lag_11__CT_place_STREET,-3.4006876603598357e-07,3.4006876603598357e-07,CT_place_STREET,False
lag_11__T_place_HUTROOF,-3.3979483760049334e-07,3.3979483760049334e-07,T_place_HUTROOF,False
lag_11__T_place_SCAFFOLDING,-3.379577151463309e-07,3.379577151463309e-07,T_place_SCAFFOLDING,False
lag_05__CT_place_DECK,-3.3591214787520585e-07,3.3591214787520585e-07,CT_place_DECK,False
