tick,seconds_in_round,lstm_delta_from_prev,rank,feature,base_feature,is_utility,feature_delta_scaled,coefficient,ridge_delta_contribution
50975,36.5,-0.19552597403526306,3,lag_08__CT_place_VENTS,CT_place_VENTS,False,-8.390937805175781,0.001313780783675611,-0.01102385284545715
50975,36.5,-0.19552597403526306,4,lag_06__T_place_TROPHY,T_place_TROPHY,False,-6.341568470001221,0.0009577006567269564,-0.006073324288399129
50975,36.5,-0.19552597403526306,5,lag_00__T_kills_last_3s,T_kills_last_3s,False,3.1681017875671387,-0.0019131250446662307,-0.006060974873846547
50975,36.5,-0.19552597403526306,6,lag_14__CT2__flash_duration,CT2__flash_duration,True,-6.567880153656006,0.0009192092111334205,-0.0060372559348609856
50975,36.5,-0.19552597403526306,7,lag_00__kill_diff_last_3s,kill_diff_last_3s,False,-2.4069459438323975,0.0021159856114536524,-0.005093062984696084
50975,36.5,-0.19552597403526306,8,lag_05__T_place_CONTROL,T_place_CONTROL,False,-7.106100082397461,0.0007131852908059955,-0.0050679660537611415
50975,36.5,-0.19552597403526306,9,lag_15__T1__flash_duration,T1__flash_duration,True,-5.460149765014648,0.0008166354964487255,-0.004458952114037129
50975,36.5,-0.19552597403526306,10,lag_13__CT_place_RAFTERS,CT_place_RAFTERS,False,5.343343257904053,-0.0008188204374164343,-0.0043752386637031515
50975,36.5,-0.19552597403526306,11,lag_04__CT_place_RAFTERS,CT_place_RAFTERS,False,-5.343343257904053,0.0007740840082988143,-0.004136196566794814
50975,36.5,-0.19552597403526306,12,lag_09__T_place_RAMP,T_place_RAMP,False,3.5366947650909424,-0.0011392207816243172,-0.004029076174653534
50975,36.5,-0.19552597403526306,13,lag_07__CT_place_HEAVEN,CT_place_HEAVEN,False,-5.3994574546813965,0.0007277800468727946,-0.003929617399455687
50975,36.5,-0.19552597403526306,14,lag_01__T1__duck_amount,T1__duck_amount,False,-3.915480136871338,0.00098709249868989,-0.003864941071874961
50975,36.5,-0.19552597403526306,15,lag_12__CT_place_HELL,CT_place_HELL,False,-5.4229230880737305,0.0006549304816871881,-0.003551637630224702
50975,36.5,-0.19552597403526306,16,lag_00__T_damage_last_5s,T_damage_last_5s,False,2.3978044986724854,-0.0014597283443436027,-0.0035001431909068292
50975,36.5,-0.19552597403526306,17,lag_00__damage_diff_last_5s,damage_diff_last_5s,False,-2.255979061126709,0.0014680444728583097,-0.003311877591571144
50975,36.5,-0.19552597403526306,18,lag_09__T_place_CONTROL,T_place_CONTROL,False,-7.106100082397461,0.00045896274968981743,-0.003261435233388177
50975,36.5,-0.19552597403526306,19,lag_07__CT_place_RAFTERS,CT_place_RAFTERS,False,5.343343257904053,-0.0005141986184753478,-0.0027475397212538277
50975,36.5,-0.19552597403526306,20,lag_12__CT_place_HEAVEN,CT_place_HEAVEN,False,5.3994574546813965,-0.0004806331708095968,-0.0025951583570950343
53567,77.0,-0.1042989194393158,1,lag_00__T_place_HELL,T_place_HELL,False,21.323461532592773,-0.0024989929515868425,-0.05328718007338251
53567,77.0,-0.1042989194393158,2,lag_07__T_place_HELL,T_place_HELL,False,-21.323461532592773,-0.000696833070833236,0.014858893180551003
53567,77.0,-0.1042989194393158,3,lag_14__T_place_HELL,T_place_HELL,False,-21.323461532592773,0.0005008282605558634,-0.010679392148398303
53567,77.0,-0.1042989194393158,4,lag_06__CT3__duck_amount,CT3__duck_amount,False,-3.7208433151245117,-0.0014358018524944782,0.0053423937246974695
53567,77.0,-0.1042989194393158,5,lag_05__T_place_TROPHY,T_place_TROPHY,False,-6.341568470001221,0.0008105636807158589,-0.0051402450805558275
53567,77.0,-0.1042989194393158,6,lag_12__T_place_TROPHY,T_place_TROPHY,False,6.341568470001221,-0.0005441249813884497,-0.0034506058257129935
53567,77.0,-0.1042989194393158,7,lag_01__kill_diff_last_3s,kill_diff_last_3s,False,-2.4069459438323975,0.0013389711966738105,-0.0032228312907424395
53567,77.0,-0.1042989194393158,8,lag_06__CT_duck_amount_mean,CT_duck_amount_mean,False,-1.996178150177002,-0.0012527735671028495,0.0025007592217700103
53567,77.0,-0.1042989194393158,9,lag_12__T_place_VENDING,T_place_VENDING,False,-5.069882392883301,0.0004906612448394299,-0.0024875948060816278
53567,77.0,-0.1042989194393158,10,lag_13__CT4__duck_amount,CT4__duck_amount,False,-3.6725916862487793,0.0006726017454639077,-0.002470191578547165
53567,77.0,-0.1042989194393158,11,lag_01__CT_kills_last_3s,CT_kills_last_3s,False,-2.8871407508850098,0.0008198589202947915,-0.0023670480987596776
