run_id,max_depth,n_estimators,learning_rate,best_iteration,best_score,train_accuracy,valid_accuracy,train_logloss,valid_logloss,train_roc_auc,valid_roc_auc,train_brier_score,valid_brier_score,auc_gap,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
random_010_mcw25_sub067_col060_l2707_l1133_g353,3,1500,0.02,483,0.4599810767733533,0.7684307645176056,0.7492794799991824,0.4377062723134166,0.45998107555958206,0.8684186490132707,0.8516005387631084,0.14757566072472564,0.15515745256322877,0.016818110250162333,25.0,0.6699678708662878,0.602576794412852,7.06698273411488,1.3297017131840643,3.5258268931316756
random_022_mcw12_sub087_col085_l2293_l1125_g292,3,1500,0.02,434,0.46001532847577586,0.7664047207265615,0.7501625002555036,0.43969772690127834,0.4600153272651352,0.8665037611934036,0.8520097009656722,0.14842287487757733,0.1550492930187695,0.014494060227731365,12.0,0.8654818354423235,0.8518120345828278,2.9262181861037435,1.2546176814048864,2.920489844563678
random_038_mcw8_sub060_col068_l2139_l1136_g061,3,1500,0.02,518,0.46001839301239766,0.7702849285496732,0.7496269648222718,0.43549573896288873,0.46001839173171216,0.8699099504258857,0.8518487052312638,0.14681559239833275,0.15509309423592277,0.018061245194621933,8.0,0.6048777006978705,0.6803796104995993,1.3875864979601595,1.355317347225715,0.6091625231426556
random_014_mcw15_sub090_col068_l2116_l1056_g147,3,1500,0.02,460,0.4600407403206525,0.7671545795714227,0.7517486662714878,0.43865584272072045,0.4600407391069998,0.8672737007213555,0.8519276117218588,0.1480118788214582,0.1550903490409912,0.015346088999496632,15.0,0.8986910756438581,0.6818788200528693,1.1558972364844584,0.5627677840439931,1.467968788833418
random_002_mcw25_sub087_col088_l2137_l1090_g185,3,1500,0.02,450,0.46006870821936,0.7658917531557302,0.7492099830345645,0.43924944392165344,0.4600687070999586,0.8668420414831833,0.8518237258543101,0.14821892167988354,0.15512554758414793,0.015018315628873236,25.0,0.8663988956966235,0.8751225068469337,1.3748579514753427,0.9007718757911343,1.8539901211629062
random_029_mcw10_sub084_col070_l2515_l1145_g384,3,1500,0.02,463,0.4602516402328391,0.7673665349218705,0.7494266500419026,0.4384636587298651,0.4602516390167765,0.8677247394564543,0.851467507757465,0.14792049005032376,0.1552531543173814,0.016257231698989294,10.0,0.835284032563934,0.6984318243436529,5.147976320452656,1.4539892285737652,3.843237459588285
random_033_mcw10_sub095_col091_l2643_l1178_g447,3,1500,0.02,442,0.4602566392506386,0.767276587483235,0.7493203605666047,0.4392154395502523,0.4602566380374439,0.8669671090586885,0.851903214299307,0.14819751333572415,0.15515312565940345,0.015063894759381413,10.0,0.9473314474195429,0.9120870431892198,6.425156867338488,1.7815849817570497,4.467233198489316
random_001_mcw5_sub075_col090_l2566_l1019_g488,3,1500,0.02,445,0.4602845107257724,0.7668232880152608,0.7498231915458986,0.43907838631530605,0.46028450967260237,0.8671759533759933,0.8519168695432792,0.1481477834560032,0.1551464188485679,0.015259083832714126,5.0,0.7536074539132183,0.9005092719689838,5.657004165805846,0.18835469577529906,4.878111758183779
random_017_mcw20_sub078_col065_l2564_l1089_g191,3,1500,0.02,389,0.4602884101618139,0.764951312609206,0.7507470923696421,0.4418680814512852,0.46028840886705746,0.8652182241108648,0.8517829260014099,0.1490831749198329,0.15513493048073326,0.013435298109454874,20.0,0.7753656712861772,0.6533092359496089,5.642296313398742,0.8923125511480614,1.9051061304824124
random_039_mcw10_sub084_col080_l2164_l1161_g358,3,1500,0.02,468,0.46032277673079847,0.7678296306455377,0.7502892300145126,0.4378546976188674,0.4603227756269641,0.8680415869271335,0.8516593442858698,0.14770210105292084,0.15519084102581,0.016382242641263756,10.0,0.8429918524750102,0.8033908132273158,1.642835718434277,1.6082490523645254,3.577035648079008
random_003_mcw8_sub083_col089_l2301_l1045_g277,3,1500,0.02,501,0.46034270269946015,0.768644501005452,0.7479835660118962,0.4367100364498638,0.460342701317605,0.8687784192363448,0.8514671688077567,0.1473360031876189,0.15523646916795025,0.017311250428588054,8.0,0.8253527920282325,0.8879665646447905,3.0097074798870422,0.4544774435695538,2.772923935079174
random_040_mcw15_sub086_col065_l2136_l1186_g199,3,1500,0.02,507,0.46036040403680384,0.7695626773344922,0.748931995176093,0.43678507770400077,0.46036040273967965,0.8690813885610611,0.8515404822585023,0.14726515193325654,0.1552095994279775,0.01754090630255878,15.0,0.8586444013704395,0.6458702130450596,1.360043452530049,1.8551251020130153,1.9878909691247033
