feature,block,rows,non_null,zero,nonzero,nonzero_ratio,unique_count,unique_overflow,min,max,mean,std,constant,rare_nonzero,forbidden,leak_suspicious
CT5__duck_amount,player_slot_numeric,1873218,1873218,1647948,225270,0.12025829348212541,,True,0.0,1.0,0.08767764646535531,0.2637047462326091,False,False,False,False
CT5__flash,utility,1873218,1873218,1221131,652087,0.34811057762630937,3.0,False,0.0,2.0,0.387976733087126,0.5631901087481919,False,False,False,False
CT5__flash_duration,utility,1873218,1873218,1795377,77841,0.04155469358077917,,True,0.0,5.276788711547852,0.11888067117179014,0.6395863923562879,False,False,False,False
CT5__has_defuser,objective,1873218,1873218,1294230,578988,0.3090873566237352,2.0,False,0.0,1.0,0.3090873566237352,0.4621172606591179,False,False,False,False
CT5__has_helmet,utility,1873218,1873218,1028237,844981,0.45108524474994366,2.0,False,0.0,1.0,0.45108524474994366,0.4976015943692575,False,False,False,False
CT5__hp,state,1873218,1873218,401399,1471819,0.7857168786548069,101.0,False,0.0,100.0,73.91374468961968,41.54933209666531,False,False,False,False
CT5__is_scoped,player_slot_numeric,1873218,1873218,1711635,161583,0.08625958110588303,2.0,False,0.0,1.0,0.08625958110588303,0.28074697820870775,False,False,False,False
CT5__is_walking,player_slot_numeric,1873218,1873218,1449327,423891,0.22629026626906212,2.0,False,0.0,1.0,0.22629026626906212,0.4184291835674695,False,False,False,False
CT5__molly,utility,1873218,1873218,1495759,377459,0.20150297509419618,2.0,False,0.0,1.0,0.20150297509419618,0.401122831714157,False,False,False,False
CT5__shots_fired,combat,1873218,1873218,1652764,220454,0.11768731669245117,31.0,False,0.0,30.0,0.4862119625158417,1.8707150326000896,False,False,False,False
CT5__smoke,utility,1873218,1873218,1320696,552522,0.29495872877582857,2.0,False,0.0,1.0,0.29495872877582857,0.45602420669825827,False,False,False,False
CT5__utility_total,utility,1873218,1873218,937603,935615,0.4994693623486428,5.0,False,0.0,4.0,0.8844384369571507,1.055781924203455,False,False,False,False
CT_A_site_active_infernos,utility,1873218,1873218,1771542,101676,0.054278786558745434,6.0,False,0.0,5.0,0.06308875955708305,0.2863912410416978,False,False,False,False
CT_A_site_active_smokes,utility,1873218,1873218,1406850,466368,0.24896621749310544,6.0,False,0.0,5.0,0.32327790999232336,0.6264021356099839,False,False,False,False
CT_B_site_active_infernos,utility,1873218,1873218,1758307,114911,0.061344168164089816,5.0,False,0.0,4.0,0.07064367308022879,0.29613954463493136,False,False,False,False
CT_B_site_active_smokes,utility,1873218,1873218,1298667,574551,0.30671870545766694,5.0,False,0.0,4.0,0.36753704053665937,0.604950400412774,False,False,False,False
CT_active_infernos,utility,1873218,1873218,1655472,217746,0.11624167608895494,6.0,False,0.0,5.0,0.14385351838387203,0.43535406853403175,False,False,False,False
CT_active_smokes,utility,1873218,1873218,982461,890757,0.4755223364285417,6.0,False,0.0,5.0,0.7020186652060785,0.866244850383639,False,False,False,False
CT_alive,state,1873218,1873218,0,1873218,1.0,5.0,False,1.0,5.0,3.927128609697323,1.3366099113140777,False,False,False,False
CT_armor_sum,state,1873218,1873218,71092,1802126,0.9620481972733552,459.0,False,0.0,500.0,348.82886028214546,150.86574956926526,False,False,False,False
CT_burning_players,other,1873218,1873218,1633062,240156,0.12820504607579042,5.0,False,0.0,4.0,0.1422915005087502,0.38916531523624004,False,False,False,False
CT_cash_spent_round_sum,economy,1873218,1873218,20963,1852255,0.988809097499597,661.0,False,0.0,39550.0,11456.617062189238,7622.317332112734,False,False,False,False
CT_closest_enemy_dist,position,1873218,1873218,25492,1847726,0.98639133298954,,True,0.0,4937.985235421448,1355.607332293363,698.4497270264641,False,False,False,False
CT_damage_last_5s,combat,1873218,1873218,1436965,436253,0.2328896049472085,467.0,False,0.0,506.0,18.72506029730656,45.780351557896495,False,False,False,False
CT_defuser_count,objective,1873218,1873218,683533,1189685,0.6351022678620427,6.0,False,0.0,5.0,1.482886668823383,1.4998041384901253,False,False,False,False
CT_defusing_count,objective,1873218,1873218,1852781,20437,0.010910102294554077,2.0,False,0.0,1.0,0.010910102294554077,0.10388008453248603,False,False,False,False
CT_duck_amount_mean,other,1873218,1873218,1259977,613241,0.3273730019677368,,True,0.0,1.0,0.09125156632035311,0.16639664359956663,False,False,False,False
CT_equip_value_sum,economy,1873218,1873218,50,1873168,0.9999733079652234,676.0,False,0.0,36150.0,17728.653739180383,9593.002021328444,False,False,False,False
CT_flash_alpha_mean,utility,1873218,1873218,15428,1857790,0.9917639057493576,11.0,False,0.0,255.0,247.354134702955,33.251621517676845,False,False,False,False
CT_flash_duration_sum,utility,1873218,1873218,1705959,167259,0.08928966089371339,,True,0.0,20.40936088562012,0.37225388959332817,1.3900854812182144,False,False,False,False
CT_flash_inv,utility,1873218,1873218,495358,1377860,0.7355577407434692,10.0,False,0.0,9.0,1.9497623875064194,1.739621901904131,False,False,False,False
CT_flashed_players,utility,1873218,1873218,1705959,167259,0.08928966089371339,6.0,False,0.0,5.0,0.12752546687038027,0.4548101110480494,False,False,False,False
CT_flashes_last_5s,utility,1873218,1873218,1859193,14025,0.007487115754813375,4.0,False,0.0,3.0,0.007854931994033797,0.09276135992216293,False,False,False,False
CT_he_last_5s,utility,1873218,1873218,1868196,5022,0.002680947972953495,4.0,False,0.0,3.0,0.002803731332925479,0.05522661129030736,False,False,False,False
CT_helmet_count,utility,1873218,1873218,455929,1417289,0.756606545527536,6.0,False,0.0,5.0,2.2612424181275217,1.8116161190826816,False,False,False,False
CT_hp_sum,state,1873218,1873218,0,1873218,1.0,500.0,False,1.0,500.0,369.4437310553283,143.15619583009513,False,False,False,False
CT_kills_last_3s,combat,1873218,1873218,1710972,162246,0.08661351748701966,6.0,False,0.0,5.0,0.09999690372396593,0.34649246002403805,False,False,False,False
CT_macro_A,position,1873218,1873218,1111809,761409,0.40647111014307996,6.0,False,0.0,5.0,0.5539339254694328,0.7741502087970282,False,False,False,False
CT_macro_B,position,1873218,1873218,1094405,778813,0.4157620736080905,6.0,False,0.0,5.0,0.5945757514608551,0.8118613724535343,False,False,False,False
CT_macro_MID,position,1873218,1873218,1526610,346608,0.18503345579638888,6.0,False,0.0,5.0,0.24526563379168895,0.5757299407837687,False,False,False,False
CT_macro_OTHER,utility,1873218,1873218,115397,1757821,0.9383963852578824,6.0,False,0.0,5.0,2.5333532989753462,1.3676790979882532,False,False,False,False
CT_mean_X,position,1873218,1873218,0,1873218,1.0,,True,-3950.36474609375,3476.585693359375,125.68823279440713,1071.6669282746839,False,False,False,False
CT_mean_Y,position,1873218,1873218,0,1873218,1.0,,True,-3003.351806640625,3593.96875,417.9043625433659,1211.1539136831675,False,False,False,False
CT_molly_inv,utility,1873218,1873218,920583,952635,0.5085553309865697,6.0,False,0.0,5.0,1.0244274825460784,1.3277135430585363,False,False,False,False
CT_money_sum,economy,1873218,1873218,10483,1862735,0.9944037479887552,1037.0,False,0.0,70950.0,7137.063491809282,8682.029279743394,False,False,False,False
CT_place_ADMIN,position,1873218,1873218,1838622,34596,0.018468752702568522,6.0,False,0.0,5.0,0.019551381633104103,0.1467047882491866,False,False,False,False
CT_place_ALLEY,position,1873218,1873218,1741230,131988,0.07046056572166187,6.0,False,0.0,5.0,0.09794268472756508,0.39648103911245364,False,False,False,False
