feature,coefficient,abs_coefficient,base_feature,is_utility,utility_family
lag_05__CT_B_site_active_infernos,8.163439815689344e-06,8.163439815689344e-06,CT_B_site_active_infernos,True,inferno_molotov
lag_15__seconds_in_round,8.16108331491705e-06,8.16108331491705e-06,seconds_in_round,False,non_utility
lag_10__CT_place_CONTROL,8.159752724168357e-06,8.159752724168357e-06,CT_place_CONTROL,False,non_utility
lag_14__CT_place_CONTROL,8.146412255882751e-06,8.146412255882751e-06,CT_place_CONTROL,False,non_utility
lag_01__CT_place_TSIDEUPPER,8.144322237058077e-06,8.144322237058077e-06,CT_place_TSIDEUPPER,False,non_utility
lag_03__T_place_CONTROL,8.136584256135393e-06,8.136584256135393e-06,T_place_CONTROL,False,non_utility
lag_08__utility_inv_diff,-8.12357302493183e-06,8.12357302493183e-06,utility_inv_diff,True,other_utility
lag_00__CT4__is_scoped,8.106304449029267e-06,8.106304449029267e-06,CT4__is_scoped,False,non_utility
lag_09__CT_place_FOUNTAIN,8.100231752905529e-06,8.100231752905529e-06,CT_place_FOUNTAIN,False,non_utility
lag_02__T2__armor,8.098012585833203e-06,8.098012585833203e-06,T2__armor,False,non_utility
lag_08__CT_place_FOUNTAIN,8.097957106656395e-06,8.097957106656395e-06,CT_place_FOUNTAIN,False,non_utility
lag_09__T_place_HUT,8.094749318843242e-06,8.094749318843242e-06,T_place_HUT,False,non_utility
lag_08__T_place_HUT,8.092482858046424e-06,8.092482858046424e-06,T_place_HUT,False,non_utility
lag_15__T_place_CONTROL,8.079373401415069e-06,8.079373401415069e-06,T_place_CONTROL,False,non_utility
lag_06__CT_place_TMAIN,8.074234756350052e-06,8.074234756350052e-06,CT_place_TMAIN,False,non_utility
lag_03__T_he_last_5s,8.060707841650583e-06,8.060707841650583e-06,T_he_last_5s,True,non_utility
lag_05__CT4__duck_amount,-8.051809345488437e-06,8.051809345488437e-06,CT4__duck_amount,False,non_utility
lag_14__T5__has_helmet,-8.045236427278724e-06,8.045236427278724e-06,T5__has_helmet,False,non_utility
lag_11__CT_place_TMAIN,8.03433886176208e-06,8.03433886176208e-06,CT_place_TMAIN,False,non_utility
lag_09__CT_place_SECRET,8.033675840124488e-06,8.033675840124488e-06,CT_place_SECRET,False,non_utility
lag_08__CT_place_SECRET,8.031429388211109e-06,8.031429388211109e-06,CT_place_SECRET,False,non_utility
lag_06__T5__X,8.022619113035034e-06,8.022619113035034e-06,T5__X,False,non_utility
lag_07__CT_place_OUTSIDELONG,8.020075256354176e-06,8.020075256354176e-06,CT_place_OUTSIDELONG,False,non_utility
lag_15__T_he_last_5s,8.004029950825498e-06,8.004029950825498e-06,T_he_last_5s,True,non_utility
lag_10__CT_place_OUTSIDELONG,7.99662848294247e-06,7.99662848294247e-06,CT_place_OUTSIDELONG,False,non_utility
lag_01__CT_place_MAIN,7.989422556420323e-06,7.989422556420323e-06,CT_place_MAIN,False,non_utility
lag_14__CT_place_OUTSIDELONG,7.983554496604484e-06,7.983554496604484e-06,CT_place_OUTSIDELONG,False,non_utility
lag_07__T_place_ARAMP,7.978416761034168e-06,7.978416761034168e-06,T_place_ARAMP,False,non_utility
lag_05__CT3__molly,7.971130798978265e-06,7.971130798978265e-06,CT3__molly,True,non_utility
lag_10__T_place_ARAMP,7.955094588396605e-06,7.955094588396605e-06,T_place_ARAMP,False,non_utility
lag_01__CT_place_HELL,7.948076927277725e-06,7.948076927277725e-06,CT_place_HELL,False,non_utility
lag_14__T_place_ARAMP,7.942086085677147e-06,7.942086085677147e-06,T_place_ARAMP,False,non_utility
lag_07__closest_enemy_dist_diff,7.923043085611425e-06,7.923043085611425e-06,closest_enemy_dist_diff,False,non_utility
lag_01__T_place_LOWERPARK,7.906756763986778e-06,7.906756763986778e-06,T_place_LOWERPARK,False,non_utility
lag_01__T4__has_helmet,7.893590918683913e-06,7.893590918683913e-06,T4__has_helmet,False,non_utility
lag_04__T_place_CONTROL,7.890215783845633e-06,7.890215783845633e-06,T_place_CONTROL,False,non_utility
lag_03__CT_place_BRIDGE,7.873260983615182e-06,7.873260983615182e-06,CT_place_BRIDGE,False,non_utility
lag_02__T_place_CONTROL,7.8607527029817e-06,7.8607527029817e-06,T_place_CONTROL,False,non_utility
lag_13__CT_place_UPPERTUNNEL,7.860599907871801e-06,7.860599907871801e-06,CT_place_UPPERTUNNEL,False,non_utility
lag_01__T_place_SECRET,7.858112439862452e-06,7.858112439862452e-06,T_place_SECRET,False,non_utility
lag_13__CT_place_HUT,7.856118827476166e-06,7.856118827476166e-06,CT_place_HUT,False,non_utility
lag_04__CT4__armor,7.853071110730525e-06,7.853071110730525e-06,CT4__armor,False,non_utility
lag_07__CT_place_TMAIN,7.844664651202038e-06,7.844664651202038e-06,CT_place_TMAIN,False,non_utility
lag_04__T5__X,7.840011676307768e-06,7.840011676307768e-06,T5__X,False,non_utility
lag_09__CT_flashes_last_5s,7.832329174561892e-06,7.832329174561892e-06,CT_flashes_last_5s,True,flash
lag_08__CT_flashes_last_5s,7.830135473341215e-06,7.830135473341215e-06,CT_flashes_last_5s,True,flash
lag_03__CT_place_BACKOFA,7.825667125871405e-06,7.825667125871405e-06,CT_place_BACKOFA,False,non_utility
lag_10__CT_place_TMAIN,7.821736289770342e-06,7.821736289770342e-06,CT_place_TMAIN,False,non_utility
lag_14__spread_diff,7.8216635301942e-06,7.8216635301942e-06,spread_diff,False,non_utility
lag_09__T_place_MAIN,7.820804057701025e-06,7.820804057701025e-06,T_place_MAIN,False,non_utility
lag_08__T_place_MAIN,7.818616722943261e-06,7.818616722943261e-06,T_place_MAIN,False,non_utility
lag_15__CT_place_BRIDGE,7.817896403139457e-06,7.817896403139457e-06,CT_place_BRIDGE,False,non_utility
lag_04__T_he_last_5s,7.816646757419221e-06,7.816646757419221e-06,T_he_last_5s,True,non_utility
lag_05__T_place_CONTROL,7.813945558154956e-06,7.813945558154956e-06,T_place_CONTROL,False,non_utility
lag_14__CT_place_TMAIN,7.808946975274011e-06,7.808946975274011e-06,CT_place_TMAIN,False,non_utility
lag_06__CT_macro_MID,-7.801864740031306e-06,7.801864740031306e-06,CT_macro_MID,False,non_utility
lag_12__T_place_CONTROL,7.798907972755842e-06,7.798907972755842e-06,T_place_CONTROL,False,non_utility
lag_02__T_he_last_5s,7.787452886987012e-06,7.787452886987012e-06,T_he_last_5s,True,non_utility
lag_13__T_place_UPPERPARK,7.785900379531085e-06,7.785900379531085e-06,T_place_UPPERPARK,False,non_utility
